X,Y
3.493293,-4.668814
0.450689,1.951384
1.278914,8.846311
3.360236,-2.766193
3.802365,-5.665770
3.193704,0.791781
5.057171,-7.602786
3.156930,-3.313359
3.553927,-2.630525
5.861610,-3.215891
5.314588,-8.745384
3.929267,-7.175018
3.361299,-0.445299
1.957607,10.791432
4.596451,-8.683318
2.615141,5.196482
5.932918,-2.838698
2.893343,2.521460
4.816198,-9.500615
3.429209,-1.383279
3.093442,1.204815
4.771724,-9.547738
5.784995,-4.063706
2.915740,0.888562
0.609583,6.305624
0.719831,4.015485
3.465563,0.803512
4.089358,-6.400371
5.055196,-9.939723
0.011940,-0.370330
3.288913,-0.964226
5.166939,-9.286293
1.908586,9.125215
5.410508,-7.900636
1.378353,11.364782
0.877615,7.832230
0.918404,8.449203
4.415371,-10.823508
3.250037,-0.578408
6.079928,0.967171
4.665305,-8.217188
4.894804,-9.824486
2.351959,8.478066
4.434723,-12.788923
2.133414,6.060856
4.440657,-9.243115
3.750527,-4.559344
5.226517,-9.853741
5.360121,-7.787676
4.221971,-7.921660
5.586501,-6.860404
2.601151,6.453707
1.917507,6.818486
3.101322,1.285100
0.759419,6.065449
0.828530,8.712421
1.572932,8.217974
2.380743,9.299071
1.526227,9.487883
2.778548,2.681977
3.240696,-0.968349
2.247195,4.823398
4.637731,-11.942387
1.256377,8.051963
3.564534,-2.789821
5.473448,-8.787412
0.427784,2.433708
3.160086,1.145292
3.330037,-1.659726
1.221383,10.329523
1.479734,10.285369
5.318152,-9.894034
0.632509,6.032213
2.033853,8.505075
4.920375,-13.151764
0.617143,5.253751
1.602147,12.503112
0.497142,5.666007
1.013829,10.543235
1.624310,9.125296
1.150602,8.270059
6.147381,-2.873051
4.095070,-8.844900
5.264876,-9.673217
2.188381,9.193526
4.917231,-8.419083
0.370463,4.007874
5.707756,-5.431179
3.168043,3.085470
5.551681,-4.962542
1.428691,8.064626
2.206864,6.642339
5.747201,-4.873306
0.184881,-0.920710
3.591621,-1.928716
1.975694,10.082569
0.388487,3.897791
0.767281,6.927512
3.896707,-6.951459
1.965402,8.945830
5.498191,-8.223304
5.514907,-6.794721
1.314558,9.355590
3.837731,-7.615325
4.990695,-9.332181
3.757609,-6.214385
